Sample	CSM5FZ4A	CSM5FZ4E	CSM5FZ4G	CSM5FZ4K	CSM5MCTZ	CSM5MCU8	CSM5MCUA	CSM5MCUC	CSM5MCUE	CSM5MCUG	CSM5MCUK	CSM5MCUQ	CSM5MCUS	CSM5MCUW	CSM5MCUY	CSM5MCWM	CSM5MCXB	CSM5MCYI	CSM5MCYM	CSM5MCYO	CSM5MCYQ	CSM5MCYU	CSM67U9H	CSM67U9P	CSM67U9R	CSM67U9T	CSM67UEP	CSM67UET	CSM67UEW	CSM67UF1	CSM6J2H9	CSM79HGD	CSM79HGF	CSM79HGH	CSM79HGJ	CSM79HGL	CSM79HGN	CSM79HGR	CSM79HGV	CSM79HM5	CSM79HM9	CSM79HNG	CSM79HPM	CSM79HPQ	CSM79HQR	CSM79HQT	CSM7CZ2F	CSM7KOMR	CSM7KOMV	CSM7KONS	CSM7KONW	CSM7KONY	CSM7KOQ5	CSM7KOU7	CSM7KOUJ	ESM5GEYU	ESM5GEZ1	ESM5GEZ3	ESM5GEZ4	ESM5GEZ6	ESM5GEZA	ESM5ME9H	ESM5MEA7	ESM5MEA9	ESM5MEAB	ESM5MEBP	ESM5MEC7	ESM5MEEJ	HSM5MD43	HSM5MD44	HSM5MD47	HSM5MD57	HSM5MD59	HSM5MD5B	HSM5MD5D	HSM5MD5F	HSM5MD5Z	HSM5MD6E	HSM5MD6I	HSM5MD6K	HSM5MD6O	HSM5MD6S	HSM5MD6U	HSM5MD82	HSM5MD87	HSM5MD8A	HSM5MD8B	HSM5MD8D	HSM5MD8H	HSM5MD8L	HSM5MD8N	HSM5MD8P	HSM67VDR	HSM67VDT	HSM67VDX	HSM67VFX	HSM67VG2	HSM67VG6	HSM67VGA	HSM67VGE	HSM67VGI	HSM6XRQC	HSM6XRSX	HSM6XRSZ	HSM6XRT2	HSM6XRT4	HSM6XRT6	HSM6XRTA	HSM6XRTC	HSM6XRTE	HSM6XRTG	HSM7CYYR	HSM7CYYV	HSM7CYYZ	HSM7CZ1T	HSM7CZ2J	HSM7CZ2L	HSM7CZ2X	HSM7J4JT	HSM7J4JV	HSMA33J1	HSMA33P2	MSM5LLFK	MSM5LLFM	MSM5LLFO	MSM5LLFU	MSM5LLHV	MSM6J2JF	MSM6J2JH	MSM6J2M3	MSM6J2N6	MSM6J2PQ	MSM79H52	MSM79H8J	MSM79H94	MSM79H9U	MSM79HCN	MSM79HD6	MSM79HD8	MSM79HF1	MSM9VZFJ	MSM9VZJF	MSM9VZMQ	MSM9VZN4	MSM9VZNV	PSM6XBSE	PSM6XBSG	PSM6XBTZ	PSM7J19X	PSM7J1C2
C6018__NODE_437_length_8123_cov_7.93344__8123__bacteriocin__ANTISMASH__0_8123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33337069478393	0.929664801506538	0.683187073725568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2804.62392353494	0
C6017__NODE_570_length_14112_cov_8.69396__14112__bacteriocin__ANTISMASH__0_14112	36.0388406809747	39.6296076463159	173.695076143216	42.3616471934777	0	68.9224639014647	901.259911227693	56.7919805910441	77.1946856407222	0	0	44.5765803766684	54.3382524047607	56.1325188425102	48.7109584478306	37.3828189947404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.6427255516475	9.39783334000695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.794378374291	0	0	0	0	0	0	0	0	0	85.0519563094451	621.086235138014	0	14.8534189539542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.454637775673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.7981778719124	0	0	0	62.6881887490336	0	0	0	0	0	0	0	0	0	36.5096205705227	448.590082105603	0	64.7126650423441	49.8938060232601	22.7644462460494	0	0	0	0	0	0	13.5421262297429	0	0	0	0	0	0	0	0	0
C6016__NODE_782_length_10600_cov_27.5503__10600__terpene__ANTISMASH__0_10600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.090948361535	0	0	0	0	0	0	0	0	0	0	0	0	25.1693210566714	0	0	0	0	0	0	0	0	0	0	0	24.1566869097757	2.77772577257859	3.6174717167658	2325.55587071048	16.74235571498	0	0	0	0	0	0	0	0	0	6.28580943885459	0	0	0	0	0	0	0	0	0	15.6077323673945	7.11568607319728	20.5182429796789	0	0	0	0	9.69966940214966	9.25437767705635	14.4795104799486	161.827132507588	32.3493484412993	0	0	0	0	0	0	0	0	62.7492004157921	28.5087059512073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.26770481906421	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6016__NODE_356_length_26112_cov_92.2145__26112__arylpolyene__ANTISMASH__0_26112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.05986896426193	0	0	0	0	0	0	0	0	0	0	0	0	7.42019248940844	0	0	0	0	0	0	0	0	0	0	0	15.7573761827449	1.90399971197426	1.63585421339811	872.307521292587	7.5101612384232	0	0	0	0	0	0	0	0	0	2.00889826374053	0	0	0	0	0	0	0	0	0	2.30038242235307	5.81931431663689	13.7127896079555	0	0	0	0	7.59598904667978	6.98433162215162	4.58815870523072	1467.74928116036	13.5867884918911	0	0	0	0	0	0	0	0	33.4137343860325	11.6208202021527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.815061314906563	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6016__NODE_278_length_31570_cov_14.6146__19715__terpene__ANTISMASH__11855_31570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.14458965097902	0	0	0	0	0	0	0	0	0	0	0	0	0.543848852147101	0	0	0	0	0	0	0	0	0	0	0	10.3552479649683	1.13877598563867	1.2889040771506	8.5058788145742	7.15411404915469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.79264981929215	5.17045938503054	11.2734245113208	0	0	0	0	6.60366659854872	6.25789800911718	1.5237589394124	1111.30512350817	14.3634856824027	0	0	0	0	0	0	0	0	11.9919423820184	3.0583582992447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.418468454346337	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6014__NODE_1181_length_6258_cov_219.325__6258__ladderane__ANTISMASH__0_6258	0	6.50827668358133	6.9122636974273	9.6550860785335	0	0	0	0	0	0	0	6.37969207328172	3.07915905627572	3.09337507033002	1.91620623000636	16.7003033003816	0	0	0	6.06266574753878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.55022456584146	33.8838874832588	24.6262822551589	23.3320340343471	0	0	0	44.5995626069775	1.89009545855063	14.8270865458215	5736.27472492215	16.5223802613803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.4149228195002	8720.71132649816	14.9263276190989	0	0	0	0	0	0	0	0	0	0	2.64668868720282	0	0	0	0	0	1.60974306174238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.44990912172991	0	3.21963856644162	0	0	0	0	0	0	0	0	5.31153068854119	0	0	0	0	0	0	0	0	0	0	0	0	1.31434526610976	3352.725739681	0	0	0	9862.95753199436	0	0
C6009__NODE_669_length_36034_cov_150.466__36034__resorcinol__ANTISMASH__0_36034	24.2486674478853	0	0	0	0	8.00708563386113	22.500432231952	21.5073114292455	10.3803477811606	0	0	0	0	0	0	0	0	0	0	2.97170671553709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.45720263208742	0	0	0	11.5857941092527	0	0	0	0	0	0	0	0	0	66.5214575895181	0	0	0	0	0	0	0	0	0	0	0	0	0	7.94780380216682	0	0	0	0	0	0	0	0	0	0	0	0	0.995135884645779	0.927812595897912	0	12.4942759179347	0	0	0	0	0	0	0	0	6.03820325016884	19.2551239518059	0	0	0	0	1.23336604649332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.810219432325	0	0	0	0	0	0	1.7167030771814	0	7.98582957004723	6.04835298940017	7.48079318353439	5.9161501467611	2.06281181880053	1.88886257341604	1.51293227806798	0	0	15.5444346920133	0	0	0	0	0	0	9.59561405465583	0	0.852284737618186	11.9203195666993	0	35.429121254405	0	0	1.11944380347257	0	0
C6009__NODE_6348_length_5847_cov_2653.09__5847__nrps__ANTISMASH__0_5847	0	0	0.535628479794569	0	0	1360.16696180878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.25643210476355	0	0	0	0	0	4378.31695145454	0	0	0	0	0	0	0	0	0	0	0	0	1519.95271628185	0.43491484317138	0	0	0	0	0	0	0	0	8.39546220376594	0	0	0	0	0	0	0	0	1.47428840024265	0	0.691542974053191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.626684115786605	0	0	0	4.17252903654742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6009__NODE_5657_length_6492_cov_68.854__6492__bacteriocin__ANTISMASH__0_6492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.67457264618091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.896669170373171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.809807701048508	0	0	0	0	0	0	0	0
C6009__NODE_516_length_42133_cov_10.5181__20394__lantipeptide__ANTISMASH__21739_42133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.481108576925761	0	0	0	0	0	0	0	0	0
C6009__NODE_3449_length_10405_cov_35.6998__10405__resorcinol__ANTISMASH__0_10405	0	0	0	0	6.26698707873792	0	0	0	0	4.8698403714905	5.80896309006775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.394250558011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.715790622445279	0	6.48374085381422	0	0	0	0	0	0
C6009__NODE_323_length_55106_cov_110.639__52250__nrps__ANTISMASH__0_52250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.81044559198619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.860200341804047	0	0	0	0	0	0	0	0	0	0	0.434966268532657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.293256974787371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6009__NODE_3175_length_11137_cov_14.1916__11137__lantipeptide__ANTISMASH__0_11137	0	0	0	0	0	0.974765302788263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76.6381544523787	0	0	1.22867881168384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.926822944244119	0	0	0	0	5.05338442694633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.24877985233314	0	356.363993036385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5006__NODE_68_length_101550_cov_13.5281__9577__bacteriocin__ANTISMASH__91973_101550	0	0	0	0	0	0	0	0	0	0	7.67906522284745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.95095350234108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.8240190618708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1834196905887	0	0	50.5778030583347	0	0	0	0	0	0	0	0	0	0	6.79941768023673
C5006__NODE_2116_length_10149_cov_2.73895__10149__bacteriocin__ANTISMASH__0_10149	0	0	0	0	33.012710892491	0	0	0	0	324.235343248787	20.5374920868148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114.316520249297	0	0	0	0	0	0	0	0	0	0	61.5019411068712	47.8573871754344	73.256005086966	0	0	0	52.7272809622431	0	0	0	903.515372535926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.4680352827983	51.4870613546544	16.9499105873661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.2507539687499	0	0	0	0	0	0	0	7.91524276870877	0	0	0	8.33914672300912	0	0	0	17.5723589905887	0	0	0	30.9855613938937	29.7933800906638	0	32.9531056855655	0	0	0	0	0
