Sample	CSM5FZ3N	CSM5FZ3R	CSM5FZ3T	CSM5FZ3V	CSM5FZ3X	CSM5FZ3Z	CSM5FZ42	CSM5FZ44	CSM5FZ46	CSM5FZ4C	CSM5LLGB	CSM5MCU4	CSM5MCV1	CSM5MCV5	CSM5MCVB	CSM5MCVD	CSM5MCVF	CSM5MCVJ	CSM5MCVV	CSM5MCVZ	CSM5MCW4	CSM5MCWA	CSM5MCWI	CSM5MCWK	CSM5MCXF	CSM5MCXX	CSM5MCXZ	CSM5YRY7	CSM67U9V	CSM67U9X	CSM67UAI	CSM67UB5	CSM67UB7	CSM67UB9	CSM67UCU	CSM6J2H9	CSM79HG7	CSM79HGR	CSM79HGV	CSM79HH2	CSM79HHW	CSM79HJ2	CSM79HJ4	CSM79HJ6	CSM79HJ8	CSM79HJC	CSM79HJI	CSM79HNY	CSM7CZ2F	CSM7KOKH	CSM7KOKL	CSM7KOKP	CSM7KOQP	CSM7KOQZ	CSM7KOR4	CSM7KOR8	ESM5GEYU	ESM5GEYW	ESM5GEYX	ESM5GEYY	ESM5GEZ1	ESM5GEZ3	ESM5ME9D	ESM5ME9G	ESM5ME9H	ESM5MEB9	ESM5MEBA	ESM5MEBP	ESM5MEDP	ESM5MEDZ	ESM5MEE2	ESM5MEE6	ESM718U9	ESM7F5AE	HSM5FZBP	HSM5FZBQ	HSM5FZBR	HSM5FZC2	HSM5MD3L	HSM5MD49	HSM5MD4A	HSM5MD4B	HSM5MD4P	HSM5MD4U	HSM5MD4W	HSM5MD57	HSM5MD59	HSM5MD5B	HSM5MD5D	HSM5MD5F	HSM5MD5H	HSM5MD5K	HSM5MD5X	HSM5MD5Z	HSM5MD6E	HSM5MD6I	HSM5MD6K	HSM5MD6O	HSM5MD6S	HSM5MD6U	HSM5MD7W	HSM5MD7Z	HSM5MD82	HSM5MD8A	HSM5MD8B	HSM5MD8D	HSM5MD8F	HSM5MD8H	HSM5MD8J	HSM5MD8L	HSM5MD8N	HSM5MD8P	HSM5MEE5	HSM67VCX	HSM67VDR	HSM67VDT	HSM67VDX	HSM67VFX	HSM67VG2	HSM67VG6	HSM67VGA	HSM67VGE	HSM67VGI	HSM67VIJ	HSM6XRQB	HSM6XRQC	HSM6XRSX	HSM6XRSZ	HSM6XRT2	HSM6XRT4	HSM6XRT6	HSM6XRTA	HSM6XRTC	HSM6XRTE	HSM6XRTG	HSM7CYWS	HSM7CYYR	HSM7CYYV	HSM7CYYZ	HSM7CZ2J	HSM7CZ2L	HSM7CZ2V	HSM7J4JW	HSM7J4Q3	HSMA33J1	HSMA33NG	MSM5FZ9N	MSM5FZ9Q	MSM5FZ9V	MSM5FZ9X	MSM5FZA2	MSM5LLD6	MSM5LLE3	MSM5LLE9	MSM5LLF2	MSM5LLFG	MSM5LLGD	MSM5LLGF	MSM5LLGH	MSM5LLGJ	MSM5LLGN	MSM5LLGR	MSM5LLH2	MSM5LLH4	MSM5LLH8	MSM5LLHA	MSM5LLHE	MSM5LLHG	MSM5LLHI	MSM5LLHO	MSM5LLHQ	MSM5LLHR	MSM5LLHX	MSM5LLI2	MSM5LLI4	MSM5LLI6	MSM5LLI8	MSM5LLIC	MSM5LLIE	MSM5LLIG	MSM5LLII	MSM5LLIK	MSM5LLIM	MSM5LLIS	MSM5ZOJY	MSM633FF	MSM6J2JF	MSM6J2JH	MSM6J2M3	MSM6J2PQ	MSM6J2RG	MSM79H52	MSM79H8J	MSM79H94	MSM79HBX	MSM79HCN	MSM9VZFJ	MSM9VZJJ	MSM9VZLX	MSM9VZM4	MSM9VZMQ	PSM6XBQM	PSM6XBRK	PSM6XBRM	PSM6XBS2	PSM6XBS4	PSM6XBS6	PSM6XBSC	PSM6XBTF	PSM6XBTH	PSM6XBTJ	PSM6XBTN	PSM6XBTZ	PSM6XBVY	PSM7J13U	PSM7J13Y	PSM7J143	PSM7J149	PSM7J19X	PSM7J1B3	PSM7J1BN	PSM7J1CK	PSM7J1CS	PSMA2651
V1.UC38.0__NODE_47_length_151300_cov_4.25257__43627__arylpolyene__ANTISMASH__77428_121055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.4377267621212	57.1234542547804	0	0	0	0	59.311355845328	22.0337482599664	0	0	0	0	0	0	0	0	0.438275979087509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V1.UC38.0__NODE_271_length_66068_cov_4.01881__43173__nrps__ANTISMASH__18779_61952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.832020906892053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.548285805692481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V1.UC38.0__NODE_12_length_256856_cov_31.9501__10225__bacteriocin__ANTISMASH__190339_200564	0	0	0	0	0	0	0.583674157491084	1.12322633237966	0	0	2.37679724671452	0	0	0	0	0	0	0	0	0	0	0	0	0	5.65395236186611	0	0	0	0	0.913119686425434	0	0	0	0	0	1.12407104516439	0	0	2.14199352299261	0	0	0	0	0	0	0	0	3.4821568275197	1.77305627835184	0	0	0	0	0	0	0	3.05540571846616	0	0	0	2.94369672909222	0	0	0	0	0	0	2.46837721942974	0	0	0	0	0	0	0	0	0	0	2.89611673529693	1.10146003917823	2.4326387482638	1.25468611965403	0	0	0	0	1.10084645481716	1.02025917396487	0.89208372422248	3.70048484400241	0	0	0	0	0.685993657147882	2.35126961128578	1.53507302506071	0	0	0	0.971466514842427	0	0	1.93230207988487	0	0	0	7.56815361848306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.83702486834302	1.27596683274971	0	0	0	0	1.0402954390257	1.65365848609481	2.97911384772874	2.76792471635915	2.94110004418276	0	1.22820045325188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.563785168566872	0	0	0	0	0	1.48215522334475	4.68182651894426	0	0.872485994573182	1.03878086852512	0	0	0	0.389357178464427	0	0	0	0.909429850130979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V1.UC35.4__NODE_8727_length_5896_cov_5.32238__5896__lantipeptide__ANTISMASH__0_5896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01929645337376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V1.UC35.4__NODE_759_length_43394_cov_5.91573__23518__lantipeptide__ANTISMASH__19876_43394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.82356006552647	1.64643431461571	0	0	0	0	1.50055661521696	1.47048610474304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V1.UC35.4__NODE_1731_length_24876_cov_6.58446__24876__lantipeptide__ANTISMASH__0_24876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.5039699504164	0	0	1.22616657608218	0	0	0	0	0	0	0	0	0	0	3.09021257127717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73554304218019	0	0	0	0	0	0	0	0	0	0.489200667144246	3.46214344808729	0	0	1.00737241197228	0.616264556828852	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V1.UC35.4__NODE_115_length_116104_cov_19.8222__48011__arylpolyene__ANTISMASH__56578_104589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.698253494723975	2.95282688134383	0	1.47113623178928	0	7.52926048806575	0.621618295153907	0	0	2.45313049210877	0	15.8108806490257	2.03310954409139	0	9.2233483541424	4.07495758679199	1.45226010484888	0	0.73897094104786	1.72042091906728	15.0135919705679	3.26340720228769	0.59718545929935	1.5182101142662	0	4.37894351209999	2.4441893413307	10.0269583581956	0.818585280359785	0	0.953347988423383	1.95943982843329	4.01205228844573	0	0	4.2256320274711	0.82406251751279	0	0	0	0	0	0	0	0	0.964022960525076	0	0	0	0	0	1.67440911695995	0	0.693558981295515	1.01357082271649	8.45933341447141	0	0	0	0	0	0	4.7057234801008	0.901384866882697	1.12533938115401	2.19507812518936	0.70282030747711	2.00410540598753	0	0	10.13023702358	0	2.98878993080779	4.36451408861459	7.21949165505373	3.44165757767472	14.0019710868701	0.490269153995486	0	5.42153180267987	3.21760614815758	1.43245765784357	0.704483364064022	0	0	0	0.584220731331451	4.98915124496606	1.0392157510421	0	0.989466890108303	0	3.14967940073369	3.42522559133593	2.3606428673336	5.21379511435706	5.8509268676015	4.27787191660862	0.566302043577195	3.8090176327419	0.385023420708706	0	0	1.09088369200961	6.91994981329932	3.04784766128395	6.74518109267787	0	1.25364529235196	1.46879822906621	5.12743790263921	1.31282727674202	0	4.72597457043389	2.34254629199391	1.23065327384311	7.51820120727903	1.54797501435288	0	3.59136432842789	2.79121134579858	1.23266681631755	0	0	0.300282036588546	0	0	0	0.674993946628701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.668271929892746	1.44614589828022	1.31073264520456	0.69338615374414	0.880693129627055	0.581638526984454	1.1155917183779	1.07539543841918	2.47307160751401	1.25298095391272	0	0	0	0	0.640145393095032	0	0	0	0	0	0	1.09541695524496	0	2.29346963528735	0	2.07548168134411	0	0	0	0	0	0	0	3.5723080561031	0	0	0	0	0	0	0	0	0	0	0	0.85660376951383	0	0	0	0	0	0	0	0	0	0	1.1776585678259
V1.UC35.0__NODE_3761_length_8328_cov_3.02937__8328__nrps__ANTISMASH__0_8328	0	0	0	0	0	0	1.15456545222305	2.04615574574061	0	0	5.32744616510463	0	1.017961783657	2.22627495112307	0	0	0	0.258012084668144	0	0	0	0.504880545080323	0	0	17.9838371397946	0	0	0	0	4.38218428475566	0.825359815710702	2.36906707340228	1.66321660725889	0	1.43392170774422	1.78454876272133	0	0.495561474823824	2.90491171855068	0	1.11635649441494	0	0	2.07520883755707	4.02570811430635	5.17155780398892	0	0	3.35092231554893	1.35625114639451	4.36945073210762	2.95725224570527	0	0.824655949668335	1.5547957928706	0.770553522613639	0	0	1.77637963216513	0	4.58976999368143	3.30597110057427	6.35374314245689	0	2.31722049345363	0.44545769573137	0	5.41350686185898	0	1.94581262036295	4.875138843266	9.21898079350519	0	0.979127781138451	0.899195447694219	0	0	0	6.21311053653927	1.5410579500069	3.00395750001443	1.44231756826212	2.52067593282896	0	0	0.710649117103007	2.33860572957024	2.90735547248385	2.21773132124511	8.40868555943384	0	0	0	0	2.79219716906266	5.00250800115902	3.72736455811787	0	2.07590210859222	0	2.16737566596452	0	0	5.00851193523366	0	0	0	26.3932371925496	0	0	0	0	1.42696851163059	0	1.43414588728395	1.32734701965244	5.32699519941697	2.81799544727151	0	1.50557405924701	0	0.531566107170352	0	0	0	3.6570416594017	2.47497689575424	0.967875200646415	1.28113479312528	0	1.20655438416623	0	0	0	0	2.12016655861798	0	0	0	0	2.5420787574443	0	0	3.04255840021987	1.32127855968979	0	0	0	0	2.65076210149841	2.17321529266598	0	0	0	0	2.78442669111459	2.78673895156985	4.82803146561364	5.1050642869133	6.43482610829459	0.751662164948824	1.39196958928181	0	0	0	0	0	0	0.930073568043798	0	1.01100995880086	0.906518147343297	0.653934148059926	0	1.20772695445991	0.399219694753259	1.01611480338614	3.01611288617175	2.37565584682786	5.09865448067456	0	0	0	0.425244708814768	2.29600655954513	8.19199329082525	1.7377686611048	0	3.39281266647944	0.968220658296922	0	1.48510282798559	1.0097289811994	0	0	0	2.03202057009428	0	0.655805393587601	0	1.38480421689465	0	1.30786924698147	0.704736467555543	2.51073988400801	12.8931542721048	0	2.67255462040441	3.94855156957916	2.24097606418831	0	1.95903401618055	3.25014621642623	0	0	0.925854442372367	0.508648768012856	0	0	0.554148264033097	0	2.85157444760241	0	3.53235862507835
V1.UC35.0__NODE_3750_length_8343_cov_4.01617__8343__nrps__ANTISMASH__0_8343	0	0	0	0	0	0	0	0	0	0	2.17729081641779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.381314693892833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.644298629900198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.454040069225215	0	0	0.830912135013027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.25881832065811	0	0	0	0	0	0	0.428219815212502	0	0.427812571881202	0	0	1.34297815923175	0	0	0	0	0	0	0	0	0.561171042043321	0	0	0	0	0	0	0	0	0	0.507166295013736	1.82794845419442	0	4.1818087288652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.58568857425736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V1.UC34.0__NODE_3494_length_8370_cov_16.6615__8370__resorcinol__ANTISMASH__0_8370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7691275251011	0	5.44906379391203	6.52038881495491	4.87737520178418	0	0	0	0	0	0	0	2.49991701967916	3.2847651069782	0	6.36641782876074	3.29318869422182	0	0	0	5.78174061455543	5.082613970225	2.81232736032547	0	6.43639782869933	5.75362749933209	4.97704039674233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.19192640288079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V1.UC34.0__NODE_2685_length_11165_cov_5.31233__11165__microcin__ANTISMASH__0_11165	1.27163696408511	0	0	0	0	0	0	0	0	0	0	1.08488440937028	0	0	0	0	0.956832472454709	0	0	0	0	0	0	0	0	1.82361210256668	0	0	0	0	0	0	0	0	0	4.76065916889924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.90881432958485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4767835016848	0	0	0	0	0	0	0	0	0	0	0	0	4.41062244223364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.08987562638808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.37331471225601	0	0	0	0	0	3.0123446623711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.53099895576863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.85683302134283
V1.UC33.0__NODE_5166_length_7961_cov_1.81533__7961__nrps__ANTISMASH__0_7961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.39281148892548	1.42191332453015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.548707121585609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.65975643336195	0	0	0	0	0	0	0	0	0	0	0	0	0	2.92221488036969	0	1.4676291250939	4.73624785296642	0	0	2.43847859183123	1.26702993952697	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V1.UC33.0__NODE_4808_length_8485_cov_7.31767__8485__lantipeptide__ANTISMASH__0_8485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07267107288035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56150525992151	0	0	0	0	0	0	0	0	0	0	2.53337166074083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.89635475374344	0	0	3.06534420803207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.809224001773565	0	0	0	0	0	0	0	0	0	0.520530727518633	0.441474145021291	0	0	0	0	0	0	0
V1.UC32.0__NODE_8774_length_5838_cov_1.43109__5838__t1pks__ANTISMASH__0_5838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48110429069873	0	0	0	0	0	0	0	0	0.648327206239716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2452585770931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V1.UC32.0__NODE_801_length_42245_cov_5.21588__25386__arylpolyene__ANTISMASH__16859_42245	0	0	3.49303544948806	0	5.74920249428043	4.96271926732719	5.23273763177827	6.11042763497105	4.80156344902307	0	0	0	0	0	0	0	0	4.90722717538181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V1.UC32.0__NODE_504_length_53181_cov_4.4757__12856__lantipeptide__ANTISMASH__40325_53181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.734008351587871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.05794099287242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.368755536681371	0	0	0	0	0	0	1.01317657417208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V1.UC32.0__NODE_4926_length_10643_cov_4.51776__10643__arylpolyene__ANTISMASH__0_10643	0	0	3.23319390916081	0	4.73264540064317	4.87573387888406	4.6747538908766	5.12510596844997	3.92055499555107	0	0	0	0	0	0	0	0	3.80708517506277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V1.UC31.4__NODE_4370_length_7836_cov_7.81802__7836__arylpolyene__ANTISMASH__0_7836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.551312103405812	1.31722917008929	0	0	0	0	0	0	0	0	0	0	0	0	1.20106719674536	0	0	1.44624851762631	0	0.876326766108164	0	0	0	0	0.796304510062581	1.55346434992022	0	0	1.37198254018075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.863832173731899	1.0518298054387	0.849601806721327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.70628469700746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V1.UC31.4__NODE_3457_length_9939_cov_9.78936__9939__nrps__ANTISMASH__0_9939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.86549011978354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.310850183819315	0	0	0	0	0.392409566698486	0	0.991165980570821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.490814288727812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14036366874332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.51987180200427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.412176149843696	0	0	0	0	0	0	0	0	0	0	0.598119917507081	0	0	0	0	0	0	1.21484427291125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.538974851579035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
