sseqid	slen	sstart	send	qseqid	qlen	qstart	qend	pident	evalue	Sample
FC615DRAAXX:2:102:8887:18521#0/1	52	1	52	smNRPS-CC	5875	1872	1923	100	2.17e-17	V1.CD10.0
FC615DRAAXX:2:61:1313:17456#0/1	55	1	55	smNRPS-CC	5875	642	696	100	4.67e-19	V1.CD10.0
FC615DRAAXX:2:84:18489:4162#0/2	57	57	1	smNRPS-CC	5875	3580	3636	100	3.61e-20	V1.CD10.0
FC615DRAAXX:2:64:4397:8900#0/2	58	58	1	smNRPS-CC	5875	4898	4955	100	1e-20	V1.CD10.0
FC615DRAAXX:2:46:7306:14082#0/1	58	58	1	smNRPS-CC	5875	2302	2359	100	1e-20	V1.CD10.0
FC615DRAAXX:2:9:1404:19016#0/1	59	59	1	smNRPS-CC	5875	3578	3636	100	2.79e-21	V1.CD10.0
FC615DRAAXX:2:14:7361:13238#0/2	59	59	1	smNRPS-CC	5875	4851	4909	100	2.79e-21	V1.CD10.0
FC615DRAAXX:2:108:18350:10408#0/2	60	1	60	smNRPS-CC	5875	4662	4721	100	7.76e-22	V1.CD10.0
FC615DRAAXX:2:110:4441:21034#0/1	62	1	60	smNRPS-CC	5875	499	558	100	7.76e-22	V1.CD10.0
FC615DRAAXX:2:73:2354:1985#0/2	61	61	1	smNRPS-CC	5875	3769	3829	100	2.16e-22	V1.CD10.0
FC615DRAAXX:2:98:17822:3209#0/2	61	61	1	smNRPS-CC	5875	4948	5008	100	2.16e-22	V1.CD10.0
FC615DRAAXX:2:62:5105:15535#0/1	62	62	1	smNRPS-CC	5875	804	865	100	6e-23	V1.CD10.0
FC615DRAAXX:2:12:13485:11941#0/1	63	1	63	smNRPS-CC	5875	3595	3657	100	1.67e-23	V1.CD10.0
FC615DRAAXX:2:82:1489:2272#0/2	63	63	1	smNRPS-CC	5875	780	842	100	1.67e-23	V1.CD10.0
FC615DRAAXX:2:18:17248:13070#0/1	64	1	64	smNRPS-CC	5875	3553	3616	100	4.63e-24	V1.CD10.0
FC615DRAAXX:2:76:11502:4886#0/2	64	64	1	smNRPS-CC	5875	4851	4914	100	4.63e-24	V1.CD10.0
FC615DRAAXX:2:71:2822:8112#0/2	65	65	1	smNRPS-CC	5875	2454	2518	100	1.29e-24	V1.CD10.0
FC615DRAAXX:2:3:5664:9962#0/1	66	1	66	smNRPS-CC	5875	1854	1919	100	3.58e-25	V1.CD10.0
FC615DRAAXX:2:14:10637:5114#0/1	72	1	72	smNRPS-CC	5875	5793	5864	97.222	3.58e-25	V1.CD10.0
FC615DRAAXX:2:41:14220:2547#0/2	66	66	1	smNRPS-CC	5875	1774	1839	100	3.58e-25	V1.CD10.0
FC615DRAAXX:2:82:1489:2272#0/1	66	1	66	smNRPS-CC	5875	510	575	100	3.58e-25	V1.CD10.0
FC615DRAAXX:2:97:4064:10418#0/1	66	1	66	smNRPS-CC	5875	5603	5668	100	3.58e-25	V1.CD10.0
FC615DRAAXX:2:1:2371:16437#0/1	67	67	1	smNRPS-CC	5875	4886	4952	100	9.96e-26	V1.CD10.0
FC615DRAAXX:2:5:12548:16385#0/2	72	72	6	smNRPS-CC	5875	5809	5875	100	9.96e-26	V1.CD10.0
FC615DRAAXX:2:21:17028:3767#0/2	67	1	67	smNRPS-CC	5875	804	870	100	9.96e-26	V1.CD10.0
FC615DRAAXX:2:76:2904:14616#0/2	67	1	67	smNRPS-CC	5875	5501	5567	100	9.96e-26	V1.CD10.0
FC615DRAAXX:2:88:6549:6850#0/2	67	67	1	smNRPS-CC	5875	498	564	100	9.96e-26	V1.CD10.0
FC615DRAAXX:2:90:11727:18537#0/2	67	67	1	smNRPS-CC	5875	4895	4961	100	9.96e-26	V1.CD10.0
FC615DRAAXX:2:71:3130:6740#0/1	68	1	68	smNRPS-CC	5875	2455	2522	100	2.77e-26	V1.CD10.0
FC615DRAAXX:2:108:9808:10845#0/2	71	71	1	smNRPS-CC	5875	3255	3325	98.592	2.77e-26	V1.CD10.0
FC615DRAAXX:2:13:9340:9273#0/2	72	72	1	smNRPS-CC	5875	573	644	98.611	7.7e-27	V1.CD10.0
FC615DRAAXX:2:14:14475:9931#0/1	69	1	69	smNRPS-CC	5875	5583	5651	100	7.7e-27	V1.CD10.0
FC615DRAAXX:2:47:8925:10641#0/2	72	72	1	smNRPS-CC	5875	3250	3321	98.611	7.7e-27	V1.CD10.0
FC615DRAAXX:2:64:16294:9755#0/2	69	1	69	smNRPS-CC	5875	1847	1915	100	7.7e-27	V1.CD10.0
FC615DRAAXX:2:72:12141:1863#0/2	72	72	1	smNRPS-CC	5875	482	553	98.611	7.7e-27	V1.CD10.0
FC615DRAAXX:2:74:11933:11699#0/2	72	1	72	smNRPS-CC	5875	578	649	98.611	7.7e-27	V1.CD10.0
FC615DRAAXX:2:75:8867:10569#0/2	72	1	72	smNRPS-CC	5875	461	532	98.611	7.7e-27	V1.CD10.0
FC615DRAAXX:2:92:16940:12555#0/1	72	1	72	smNRPS-CC	5875	4283	4354	98.611	7.7e-27	V1.CD10.0
FC615DRAAXX:2:61:1810:12236#0/2	72	72	1	smNRPS-CC	5875	4869	4940	98.611	7.7e-27	V1.CD10.0
FC615DRAAXX:2:4:2207:8327#0/1	70	70	1	smNRPS-CC	5875	388	457	100	2.14e-27	V1.CD10.0
FC615DRAAXX:2:21:10087:14560#0/2	70	70	1	smNRPS-CC	5875	2324	2393	100	2.14e-27	V1.CD10.0
FC615DRAAXX:2:37:15003:19026#0/1	70	1	70	smNRPS-CC	5875	3928	3997	100	2.14e-27	V1.CD10.0
FC615DRAAXX:2:52:17227:10028#0/1	72	72	1	smNRPS-CC	5875	2320	2391	98.611	2.14e-27	V1.CD10.0
FC615DRAAXX:2:2:18806:5826#0/2	71	1	71	smNRPS-CC	5875	2872	2942	100	5.95e-28	V1.CD10.0
FC615DRAAXX:2:4:10417:1137#0/1	71	1	71	smNRPS-CC	5875	586	656	100	5.95e-28	V1.CD10.0
FC615DRAAXX:2:7:8907:16421#0/2	71	1	71	smNRPS-CC	5875	3582	3652	100	5.95e-28	V1.CD10.0
FC615DRAAXX:2:21:14838:8982#0/2	71	71	1	smNRPS-CC	5875	4191	4261	100	5.95e-28	V1.CD10.0
FC615DRAAXX:2:35:4334:13971#0/2	71	71	1	smNRPS-CC	5875	1844	1914	100	5.95e-28	V1.CD10.0
FC615DRAAXX:2:35:17836:7436#0/2	71	1	71	smNRPS-CC	5875	5527	5597	100	5.95e-28	V1.CD10.0
FC615DRAAXX:2:36:18517:16191#0/2	71	71	1	smNRPS-CC	5875	1243	1313	100	5.95e-28	V1.CD10.0
FC615DRAAXX:2:37:11288:4632#0/2	71	1	71	smNRPS-CC	5875	773	843	100	5.95e-28	V1.CD10.0
FC615DRAAXX:2:37:15003:19026#0/2	71	71	1	smNRPS-CC	5875	4180	4250	100	5.95e-28	V1.CD10.0
FC615DRAAXX:2:40:7027:20141#0/2	71	1	71	smNRPS-CC	5875	3925	3995	100	5.95e-28	V1.CD10.0
FC615DRAAXX:2:56:11355:20735#0/1	71	71	1	smNRPS-CC	5875	3448	3518	100	5.95e-28	V1.CD10.0
FC615DRAAXX:2:83:5392:15026#0/1	71	71	1	smNRPS-CC	5875	3922	3992	100	5.95e-28	V1.CD10.0
FC615DRAAXX:2:94:12788:12439#0/2	71	71	1	smNRPS-CC	5875	2409	2479	100	5.95e-28	V1.CD10.0
FC615DRAAXX:2:95:13514:13994#0/2	71	1	71	smNRPS-CC	5875	10	80	100	5.95e-28	V1.CD10.0
FC615DRAAXX:2:101:11088:15213#0/2	71	71	1	smNRPS-CC	5875	4286	4356	100	5.95e-28	V1.CD10.0
FC615DRAAXX:2:101:14091:12019#0/1	71	1	71	smNRPS-CC	5875	5532	5602	100	5.95e-28	V1.CD10.0
FC615DRAAXX:2:103:11262:18623#0/2	71	71	1	smNRPS-CC	5875	2720	2790	100	5.95e-28	V1.CD10.0
FC615DRAAXX:2:112:10833:12039#0/2	71	1	71	smNRPS-CC	5875	828	898	100	5.95e-28	V1.CD10.0
FC615DRAAXX:2:2:16514:19239#0/1	72	72	1	smNRPS-CC	5875	5769	5840	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:5:11147:11197#0/1	72	72	1	smNRPS-CC	5875	4181	4252	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:5:11147:11197#0/2	72	1	72	smNRPS-CC	5875	3918	3989	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:7:2366:7670#0/2	72	1	72	smNRPS-CC	5875	5048	5119	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:8:7368:4049#0/2	72	72	1	smNRPS-CC	5875	4362	4433	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:10:18379:18023#0/1	72	1	72	smNRPS-CC	5875	3279	3350	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:10:18942:12396#0/1	72	72	1	smNRPS-CC	5875	2352	2423	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:11:18036:9239#0/1	72	72	1	smNRPS-CC	5875	405	476	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:13:9340:9273#0/1	72	1	72	smNRPS-CC	5875	322	393	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:15:8225:10734#0/1	72	72	1	smNRPS-CC	5875	1857	1928	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:17:5852:5350#0/1	72	72	1	smNRPS-CC	5875	314	385	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:17:16607:4900#0/1	72	72	1	smNRPS-CC	5875	2406	2477	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:18:11575:8192#0/1	72	72	1	smNRPS-CC	5875	762	833	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:18:11575:8192#0/2	72	1	72	smNRPS-CC	5875	498	569	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:20:14440:7313#0/1	72	1	72	smNRPS-CC	5875	3694	3765	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:21:15447:15003#0/1	72	72	1	smNRPS-CC	5875	4891	4962	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:24:9357:7398#0/1	72	72	1	smNRPS-CC	5875	2462	2533	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:25:7989:14910#0/1	72	72	1	smNRPS-CC	5875	5038	5109	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:26:3765:3459#0/1	72	72	1	smNRPS-CC	5875	5078	5149	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:30:7147:12424#0/1	72	1	72	smNRPS-CC	5875	4281	4352	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:32:2854:2702#0/2	72	72	1	smNRPS-CC	5875	1222	1293	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:33:4286:17542#0/1	72	72	1	smNRPS-CC	5875	442	513	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:35:5429:9745#0/1	72	72	1	smNRPS-CC	5875	577	648	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:35:5429:9745#0/2	72	1	72	smNRPS-CC	5875	319	390	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:35:6246:8640#0/2	72	72	1	smNRPS-CC	5875	119	190	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:35:14910:7943#0/2	72	1	72	smNRPS-CC	5875	463	534	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:35:17836:7436#0/1	72	72	1	smNRPS-CC	5875	5791	5862	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:39:6128:18172#0/1	72	72	1	smNRPS-CC	5875	585	656	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:39:6128:18172#0/2	72	1	72	smNRPS-CC	5875	309	380	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:40:9451:16281#0/1	72	1	72	smNRPS-CC	5875	3988	4059	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:40:9451:16281#0/2	72	72	1	smNRPS-CC	5875	4250	4321	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:44:1486:14321#0/2	72	72	1	smNRPS-CC	5875	437	508	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:44:7058:5633#0/2	72	72	1	smNRPS-CC	5875	3917	3988	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:44:17796:17288#0/1	72	1	72	smNRPS-CC	5875	428	499	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:44:17796:17288#0/2	72	72	1	smNRPS-CC	5875	674	745	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:44:18217:11927#0/1	72	72	1	smNRPS-CC	5875	4381	4452	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:46:15840:4858#0/2	72	72	1	smNRPS-CC	5875	1866	1937	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:51:6668:2565#0/1	72	1	72	smNRPS-CC	5875	109	180	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:51:9791:10236#0/1	72	72	1	smNRPS-CC	5875	2	73	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:53:15788:5281#0/2	72	1	72	smNRPS-CC	5875	498	569	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:54:4067:16061#0/2	72	72	1	smNRPS-CC	5875	4213	4284	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:58:3418:5190#0/2	72	72	1	smNRPS-CC	5875	452	523	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:59:2937:3341#0/1	72	1	72	smNRPS-CC	5875	4022	4093	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:59:2937:3341#0/2	72	72	1	smNRPS-CC	5875	4285	4356	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:59:15383:18029#0/2	72	72	1	smNRPS-CC	5875	4285	4356	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:60:16443:4299#0/2	72	1	72	smNRPS-CC	5875	5485	5556	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:60:18634:9344#0/2	72	72	1	smNRPS-CC	5875	1906	1977	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:61:15177:8635#0/1	72	72	1	smNRPS-CC	5875	764	835	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:62:16361:19544#0/2	72	72	1	smNRPS-CC	5875	1769	1840	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:69:2138:5413#0/2	72	1	72	smNRPS-CC	5875	463	534	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:74:4877:21038#0/1	72	1	72	smNRPS-CC	5875	5511	5582	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:74:11933:11699#0/1	72	72	1	smNRPS-CC	5875	829	900	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:75:7659:17290#0/1	72	1	72	smNRPS-CC	5875	2870	2941	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:75:7898:14363#0/1	72	72	1	smNRPS-CC	5875	3661	3732	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:76:2904:14616#0/1	72	72	1	smNRPS-CC	5875	5766	5837	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:77:4472:11642#0/1	72	1	72	smNRPS-CC	5875	432	503	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:77:4472:11642#0/2	72	72	1	smNRPS-CC	5875	678	749	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:77:5197:15618#0/1	72	72	1	smNRPS-CC	5875	2688	2759	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:77:11487:5885#0/2	72	1	72	smNRPS-CC	5875	2674	2745	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:77:16944:16373#0/1	72	1	72	smNRPS-CC	5875	800	871	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:78:3845:17270#0/2	72	1	72	smNRPS-CC	5875	5058	5129	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:78:10117:18533#0/1	72	1	72	smNRPS-CC	5875	3466	3537	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:78:15707:10088#0/1	72	72	1	smNRPS-CC	5875	4868	4939	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:81:3293:19557#0/2	72	1	72	smNRPS-CC	5875	2869	2940	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:81:16974:9324#0/1	72	72	1	smNRPS-CC	5875	3660	3731	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:81:17945:19268#0/2	72	1	72	smNRPS-CC	5875	2875	2946	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:83:5392:15026#0/2	72	1	72	smNRPS-CC	5875	3666	3737	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:84:17946:14182#0/1	72	72	1	smNRPS-CC	5875	4249	4320	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:85:15546:11231#0/1	72	1	72	smNRPS-CC	5875	2020	2091	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:87:14339:6627#0/1	72	72	1	smNRPS-CC	5875	333	404	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:90:9190:4471#0/1	72	1	72	smNRPS-CC	5875	485	556	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:93:14798:18489#0/1	72	1	72	smNRPS-CC	5875	4214	4285	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:94:17448:18697#0/1	72	72	1	smNRPS-CC	5875	8	79	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:95:16730:6446#0/2	72	1	72	smNRPS-CC	5875	5352	5423	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:96:18611:10324#0/1	72	1	72	smNRPS-CC	5875	417	488	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:96:18611:10324#0/2	72	72	1	smNRPS-CC	5875	651	722	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:99:11717:8128#0/2	72	72	1	smNRPS-CC	5875	5080	5151	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:101:11088:15213#0/1	72	1	72	smNRPS-CC	5875	4024	4095	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:101:14091:12019#0/2	72	72	1	smNRPS-CC	5875	5802	5873	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:106:12934:18589#0/1	72	72	1	smNRPS-CC	5875	620	691	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:106:12934:18589#0/2	72	1	72	smNRPS-CC	5875	374	445	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:107:10948:12121#0/2	72	1	72	smNRPS-CC	5875	5049	5120	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:107:13326:16489#0/2	72	1	72	smNRPS-CC	5875	3651	3722	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:108:15156:12352#0/1	72	72	1	smNRPS-CC	5875	4282	4353	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:108:18350:10408#0/1	72	72	1	smNRPS-CC	5875	4911	4982	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:110:12827:8138#0/2	72	72	1	smNRPS-CC	5875	2387	2458	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:110:15930:4970#0/1	72	1	72	smNRPS-CC	5875	5380	5451	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:112:12928:11750#0/2	72	72	1	smNRPS-CC	5875	4884	4955	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:112:14165:4930#0/2	72	1	72	smNRPS-CC	5875	583	654	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:114:7811:19804#0/2	72	72	1	smNRPS-CC	5875	418	489	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:114:8418:9593#0/2	72	1	72	smNRPS-CC	5875	2718	2789	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:114:13428:8230#0/1	72	1	72	smNRPS-CC	5875	581	652	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:114:15435:9505#0/2	72	72	1	smNRPS-CC	5875	118	189	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:116:5585:9354#0/1	72	1	72	smNRPS-CC	5875	538	609	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:118:1394:17933#0/2	72	1	72	smNRPS-CC	5875	2641	2712	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:118:14281:5287#0/2	72	1	72	smNRPS-CC	5875	520	591	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:120:15464:10488#0/1	72	72	1	smNRPS-CC	5875	3964	4035	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:16:4939:11742#0/1	72	1	72	smNRPS-CC	5875	4892	4963	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:73:3059:14503#0/1	72	72	1	smNRPS-CC	5875	3694	3765	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:107:12872:9756#0/1	72	1	72	smNRPS-CC	5875	4280	4351	100	1.66e-28	V1.CD10.0
FC615DRAAXX:2:1:4414:18430#0/1	72	72	1	smNRPS-CB	5945	5407	5478	100	1.67e-28	V1.CD10.0
FC615DRAAXX:2:24:6466:9435#0/2	72	72	1	smNRPS-CB	5945	2537	2608	100	1.67e-28	V1.CD10.0
FC615DRAAXX:2:37:7466:19241#0/2	72	1	72	smNRPS-CB	5945	5865	5936	100	1.67e-28	V1.CD10.0
I85_1_FC30VW3AAXX:7:55:711:1414/1	41	1	41	smNRPS-CC	5875	2696	2736	97.561	1.08e-9	V1.CD12.0
I85_1_FC30VW3AAXX:7:53:255:1218/2	43	2	43	smNRPS-CC	5875	3783	3824	97.619	3e-10	V1.CD12.0
I85_1_FC30VW3AAXX:7:61:189:899/2	39	1	39	smNRPS-CC	5875	4200	4238	100	3e-10	V1.CD12.0
I80_1_FC30VGAAAXX:6:48:1765:1334/2	40	1	40	smNRPS-CC	5875	1275	1314	100	8.35e-11	V1.CD12.0
I80_1_FC30VGAAAXX:6:52:1623:1565/2	42	1	40	smNRPS-CC	5875	1275	1314	100	8.35e-11	V1.CD12.0
I85_1_FC30VW3AAXX:7:35:1653:1381/1	41	1	41	smNRPS-CC	5875	656	696	100	2.32e-11	V1.CD12.0
I85_1_FC30VW3AAXX:7:46:864:1696/2	42	42	1	smNRPS-CC	5875	5042	5083	100	6.45e-12	V1.CD12.0
I80_1_FC30VGAAAXX:6:59:361:952/2	43	1	43	smNRPS-CC	5875	509	551	100	1.79e-12	V1.CD12.0
I80_1_FC30VGAAAXX:6:43:648:1296/1	45	1	44	smNRPS-CC	5875	4576	4619	100	4.99e-13	V1.CD12.0
I85_1_FC30VW3AAXX:7:44:944:649/1	44	1	44	smNRPS-CC	5875	4907	4950	100	4.99e-13	V1.CD12.0
I80_1_FC30VGAAAXX:6:74:597:855/2	53	53	1	smNRPS-CC	5875	4895	4947	96.226	1.07e-14	V1.CD12.0
I85_1_FC30VW3AAXX:7:36:708:1389/2	47	1	47	smNRPS-CC	5875	4898	4944	100	1.07e-14	V1.CD12.0
I80_1_FC30VGAAAXX:6:57:251:72/2	50	47	1	smNRPS-CC	5875	3285	3331	100	1.07e-14	V1.CD12.0
I80_1_FC30VGAAAXX:6:55:271:1527/2	52	1	48	smNRPS-CC	5875	649	696	100	2.98e-15	V1.CD12.0
I80_1_FC30VGAAAXX:6:39:776:174/2	55	1	55	smNRPS-CC	5875	425	479	96.364	8.29e-16	V1.CD12.0
I85_1_FC30VW3AAXX:7:49:529:40/1	50	50	1	smNRPS-CC	5875	5811	5860	100	2.31e-16	V1.CD12.0
I80_1_FC30VGAAAXX:6:5:1485:283/2	50	50	1	smNRPS-CC	5875	4329	4378	100	2.31e-16	V1.CD12.0
I80_1_FC30VGAAAXX:6:15:1634:878/1	50	1	50	smNRPS-CC	5875	418	467	100	2.31e-16	V1.CD12.0
I80_1_FC30VGAAAXX:6:78:540:1111/1	53	53	1	smNRPS-CC	5875	5773	5825	98.113	2.31e-16	V1.CD12.0
I80_1_FC30VGAAAXX:6:7:944:129/2	54	54	1	smNRPS-CC	5875	4181	4234	98.148	6.41e-17	V1.CD12.0
I80_1_FC30VGAAAXX:6:72:288:1349/1	52	1	52	smNRPS-CC	5875	5821	5872	100	1.78e-17	V1.CD12.0
I80_1_FC30VGAAAXX:6:15:424:183/1	53	1	53	smNRPS-CC	5875	5801	5853	100	4.95e-18	V1.CD12.0
I80_1_FC30VGAAAXX:6:19:659:945/2	57	1	57	smNRPS-CC	5875	640	696	98.246	1.38e-18	V1.CD12.0
I80_1_FC30VGAAAXX:6:36:1687:1693/2	60	60	1	smNRPS-CC	5875	4250	4309	96.667	1.38e-18	V1.CD12.0
I80_1_FC30VGAAAXX:6:37:1335:400/1	54	1	54	smNRPS-CC	5875	414	467	100	1.38e-18	V1.CD12.0
