BGC,log(HighestMean_AllClasses),class_discriminitive,LDA_score,LEfSe_pvalue,manual_pvalue,NCBI refrence sequence acession number,Taxa Name,Phylum
O2.UC23.2__NODE_159_length_47799_cov_3.9969__35251__nrps__ANTISMASH__12548_47799,1.87519539399,-,-,-,0.677207789042917,N/A,N/A,Unassigned
V1.CD6.4__NODE_57_length_101213_cov_11.7711__30151__lantipeptide__ANTISMASH__34740_64891,1.15620634157,-,-,-,0.181080684353399,NZ_JGEU01000044,Bacteroides fragilis str. 3783N1-6,Bacteroidetes
V1.UC25.0__NODE_2159_length_11270_cov_2.0239__11270__lassopeptide__ANTISMASH__0_11270,2.0774920104,-,-,-,0.868581995503247,NZ_LXMC01000002,Streptococcus salivarius,Firmicutes
O2.UC44.0__NODE_1497_length_16547_cov_2.17742__16547__nrps__ANTISMASH__0_16547,2.92386084541,-,-,-,0.361149675136387,N/A,N/A,Unassigned
V1.UC2.4__NODE_255_length_44674_cov_4.17408__16798__lantipeptide__ANTISMASH__27876_44674,3.35085599189,-,-,-,0.995448410827315,NZ_CZAW01000034,Blautia wexlerae,Firmicutes
V1.UC23.0__NODE_598_length_25298_cov_1.78116__25298__other__ANTISMASH__0_25298,2.42797699473,-,-,-,0.937488846134986,N/A,N/A,Unassigned
O2.UC58.0__NODE_1442_length_16090_cov_2.00231__14880__lantipeptide__ANTISMASH__1210_16090,1.98457272415,-,-,-,0.057931858117971,N/A,N/A,Unassigned
V1.UC27.0__NODE_1005_length_22102_cov_7.35524__17754__bacteriocin__ANTISMASH__4348_22102,2.46441813047,-,-,-,0.0376085887382823,N/A,N/A,Unassigned
O2.UC1.2__NODE_171_length_60603_cov_4.70921__23591__arylpolyene__ANTISMASH__37012_60603,3.54546139296,-,-,-,0.289104704938358,N/A,N/A,Unassigned
O2.UC27.2__NODE_2_length_378753_cov_10.3919__23564__lantipeptide__ANTISMASH__31105_54669,2.54811283539,-,-,-,0.289104704938358,N/A,N/A,Unassigned
V1.UC49.1__NODE_49_length_177599_cov_3.95034__32174__other__ANTISMASH__145425_177599,2.18766841953,-,-,-,0.233164085161398,NZ_JMZZ02000225,Bacteroides fragilis,Bacteroidetes
V1.UC41.0__NODE_1038_length_21452_cov_9.47997__21452__resorcinol__ANTISMASH__0_21452,2.6168523916,-,-,-,0.120840636846349,N/A,N/A,Unassigned
O2.UC13.2__NODE_224_length_71050_cov_8.33183__43258__nrps__ANTISMASH__12457_55715,3.13943966685,-,-,-,0.260180322032307,NZ_DS480328,Clostridium sp. L2-50,Firmicutes
O2.UC30.2__NODE_868_length_25859_cov_2.4914__11197__lantipeptide__ANTISMASH__14662_25859,2.75553175172,-,-,-,0.339538945741148,N/A,N/A,Unassigned
V1.UC35.4__NODE_456_length_58727_cov_17.0485__22790__lantipeptide__ANTISMASH__27_22817,2.64400276235,-,-,-,0.512656860982989,N/A,N/A,Unassigned
V1.UC52.1__NODE_77_length_140139_cov_14.3849__41215__arylpolyene__ANTISMASH__13556_54771,3.20070717999,-,-,-,0.114411977499302,NZ_PJKR01000001,Akkermansia muciniphila,Verrucomicrobia
O2.UC24.2__NODE_1133_length_20430_cov_2.43917__20430__nrps__ANTISMASH__0_20430,2.06742044449,-,-,-,0.193041667357893,N/A,N/A,Unassigned
O2.UC60.0__NODE_6002_length_5242_cov_1.37922__5242__lantipeptide__ANTISMASH__0_5242,2.43852337884,C,2.15032289284,0.000906947467103,0.00090694746710302,N/A,N/A,Unassigned
V1.UC4.5__NODE_1000_length_37862_cov_10.7748__28931__lantipeptide__ANTISMASH__8931_37862,2.50368335897,-,-,-,0.969014672554921,N/A,N/A,Unassigned
O2.UC41.0__NODE_911_length_24972_cov_7.42617__24972__nrps__ANTISMASH__0_24972,3.52991978516,-,-,-,0.266671006129607,N/A,N/A,Unassigned
V1.UC26.4__NODE_6316_length_6326_cov_1.61649__6326__arylpolyene__ANTISMASH__0_6326,2.38713882114,-,-,-,0.442143238142428,N/A,N/A,Unassigned
V1.CD10.0__NODE_31_length_127081_cov_12.0238__52419__nrps__ANTISMASH__62652_115071,1.96480370827,-,-,-,0.644370934164771,NZ_FLVG01000002,Klebsiella pneumoniae,Proteobacteria
O2.UC58.2__NODE_543_length_31008_cov_3.90172__15316__terpene__ANTISMASH__15692_31008,3.80559850459,C,2.8900161242,0.00497955523975,0.00497955523975497,NZ_CVRQ01000026,Eubacterium rectale,Firmicutes
V1.CD38.0__NODE_418_length_53580_cov_12.3473__35847__arylpolyene__ANTISMASH__0_35847,2.37465909104,-,-,-,0.057931858117971,NZ_FQXY01000011,Bacteroides congonensis,Bacteroidetes
V1.UC5.0__NODE_5234_length_5442_cov_1.49861__5442__nrps__ANTISMASH__0_5442,2.87563410663,-,-,-,0.237160374877649,N/A,N/A,Unassigned
V1.UC51.0__NODE_3136_length_9976_cov_5.63643__9976__hserlactone__ANTISMASH__0_9976,2.35300919534,-,-,-,0.131856874594995,N/A,N/A,Unassigned
V1.UC5.3__NODE_695_length_47782_cov_4.43657__22861__other__ANTISMASH__24921_47782,3.10578503423,-,-,-,0.205589879284868,N/A,N/A,Unassigned
V1.UC4.5__NODE_2969_length_17386_cov_5.3743__17386__nrps__ANTISMASH__0_17386,3.30834818614,-,-,-,0.223260145773121,N/A,N/A,Unassigned
V1.UC38.0__NODE_1803_length_16937_cov_3.06948__16937__bacteriocin__ANTISMASH__0_16937,1.6093550332,-,-,-,0.230010867910089,NZ_KI669402,Streptococcus parasanguinis CC87K,Firmicutes
V1.UC13.3__NODE_1776_length_15845_cov_7.91153__15845__resorcinol__ANTISMASH__0_15845,2.60902332519,-,-,-,0.120840636846349,N/A,N/A,Unassigned
O2.UC59.0__NODE_2715_length_10905_cov_1.50295__10905__bacteriocin__ANTISMASH__0_10905,3.90695526829,-,-,-,0.174727665487249,NZ_CYYW01000025,Eubacterium rectale,Firmicutes
V1.UC25.0__NODE_4216_length_5715_cov_1.35565__5715__nrps__ANTISMASH__0_5715,2.93775689363,-,-,-,0.164843967409816,N/A,N/A,Unassigned
V1.CD34.0__NODE_305_length_57288_cov_8.19183__18024__terpene__ANTISMASH__0_18024,2.0662740277,-,-,-,0.936680723867894,N/A,N/A,Unassigned
V1.UC1.0__NODE_1015_length_24083_cov_2.07129__24083__nrps__ANTISMASH__0_24083,2.908610168,-,-,-,0.237127726352069,NZ_CZAW01000050,Blautia wexlerae,Firmicutes
V1.CD10.0__NODE_996_length_7562_cov_25.3104__7562__bacteriocin__ANTISMASH__0_7562,2.26434491504,-,-,-,0.644370934164771,NZ_CP022127,Klebsiella pneumoniae,Proteobacteria
V1.UC55.0__NODE_2040_length_22357_cov_40.4648__22357__lantipeptide__ANTISMASH__0_22357,3.2791664842,-,-,-,0.946932142134101,NZ_PSQG01000017,Blautia obeum,Firmicutes
O2.UC9.2__NODE_768_length_32324_cov_2.54433__32324__nrps__ANTISMASH__0_32324,1.68940733112,-,-,-,0.289104704938358,N/A,N/A,Unassigned
V1.UC31.0__NODE_372_length_48958_cov_14.1073__47658__nrps__ANTISMASH__1300_48958,2.91079877423,-,-,-,0.51147590383924,N/A,N/A,Unassigned
V1.UC29.0__NODE_322_length_52312_cov_5.69727__17242__bacteriocin__ANTISMASH__35070_52312,2.52934532252,-,-,-,0.181080684353399,N/A,N/A,Unassigned
O2.UC53.2__NODE_2899_length_9335_cov_3.46119__9335__microcin__ANTISMASH__0_9335,3.62300216913,C,3.24701050285,0.00026665574381,0.000266655743810265,N/A,N/A,Unassigned
O2.UC26.0__NODE_494_length_41866_cov_11.1568__15523__lantipeptide__ANTISMASH__26343_41866,2.68198433809,-,-,-,0.289104704938358,N/A,N/A,Unassigned
O2.UC40.0__NODE_6029_length_5349_cov_1.34549__5349__other__ANTISMASH__0_5349,2.1175958005,-,-,-,0.524587814374015,N/A,N/A,Unassigned
V1.CD35.1__NODE_3253_length_6724_cov_3.53741__6724__nrps__ANTISMASH__0_6724,2.53132448075,-,-,-,0.182624941699236,N/A,N/A,Unassigned
V1.UC50.1__NODE_79_length_121306_cov_24.6681__41221__arylpolyene__ANTISMASH__74531_115752,2.67405191982,-,-,-,0.483285823075821,NZ_LT670820,Bacteroides togonis,Bacteroidetes
V1.UC35.0__NODE_154_length_67301_cov_15.8463__41136__resorcinol__ANTISMASH__24061_65197,2.30014549883,-,-,-,0.193041667357893,N/A,N/A,Unassigned
O2.UC53.2__NODE_2488_length_10858_cov_4.68222__10858__lantipeptide__ANTISMASH__0_10858,3.61358809781,-,-,-,0.644119080090349,NZ_ACII02000003,Ruminococcus sp. 5_1_39BFAA,Firmicutes
O2.UC5.2__NODE_280_length_42813_cov_6.22938__40232__nrps__ANTISMASH__2581_42813,3.16218669849,-,-,-,0.0920508852554369,NZ_CYXZ01000018,Roseburia intestinalis,Firmicutes
V1.UC17.2__NODE_2642_length_11701_cov_17.0616__11701__nrps__ANTISMASH__0_11701,2.65261536636,-,-,-,0.289104704938358,NZ_NFJP01000006,Gordonibacter sp. An230,Actinobacteria
V1.UC45.0__NODE_609_length_31069_cov_3.02051__31069__nrps__ANTISMASH__0_31069,2.28691379191,-,-,-,0.547059193947024,N/A,N/A,Unassigned
V1.UC30.0__NODE_1974_length_13613_cov_2.61027__13613__lantipeptide__ANTISMASH__0_13613,2.30909338334,-,-,-,0.0994091199861127,NZ_LT907978,Eubacterium hallii,Firmicutes
V1.UC40.0__NODE_1757_length_17161_cov_1.4136__17161__lantipeptide__ANTISMASH__0_17161,1.20375711842,-,-,-,0.454641200516435,N/A,N/A,Unassigned
V1.UC10.2__NODE_4469_length_8210_cov_2.76321__8210__arylpolyene__ANTISMASH__0_8210,1.4545623261,-,-,-,0.454641200516435,N/A,N/A,Unassigned
V1.UC47.0__NODE_1225_length_22182_cov_3.87748__22182__other__ANTISMASH__0_22182,2.08250136694,-,-,-,0.103344588603967,N/A,N/A,Unassigned
O2.UC35.0__NODE_5254_length_6869_cov_1.48386__6869__nrps__ANTISMASH__0_6869,3.06014886712,-,-,-,0.839561759046813,N/A,N/A,Unassigned
V1.UC57.0__NODE_95_length_60198_cov_8.44494__26163__nrps__ANTISMASH__0_26163,2.92720103926,-,-,-,0.498877317605287,NZ_DS480328,Clostridium sp. L2-50,Firmicutes
O2.UC27.2__NODE_1726_length_11556_cov_2.57012__11556__butyrolactone__ANTISMASH__0_11556,2.51078645593,-,-,-,0.60451459310045,NZ_PNRH01000001,Streptococcus intermedius,Firmicutes
V1.CD35.1__NODE_2205_length_9798_cov_43.8637__9798__resorcinol__ANTISMASH__0_9798,2.67749669444,-,-,-,0.90296409106916,N/A,N/A,Unassigned
V1.UC49.1__NODE_2482_length_16351_cov_2.71576__16351__arylpolyene__ANTISMASH__0_16351,1.34843014925,-,-,-,0.681367809412131,N/A,N/A,Unassigned
O2.UC59.2__NODE_227_length_63038_cov_4.467__25194__bacteriocin__ANTISMASH__37844_63038,2.85723296684,-,-,-,0.683535046861449,NZ_DS480312,Clostridium sp. L2-50,Firmicutes
V1.CD16.0__NODE_963_length_22607_cov_4.49574__22607__lantipeptide__ANTISMASH__0_22607,3.47366999911,-,-,-,0.797921806891803,NZ_CZBP01000025,Blautia obeum,Firmicutes
O2.UC38.0__NODE_27_length_108603_cov_7.52094__11429__butyrolactone__ANTISMASH__97174_108603,2.14575638324,-,-,-,0.289104704938358,NZ_KQ089631,Klebsiella variicola,Proteobacteria
O2.UC31.0__NODE_1560_length_14838_cov_5.41352__14838__nrps__ANTISMASH__0_14838,2.01610751913,-,-,-,0.289104704938358,N/A,N/A,Unassigned
O2.UC55.2__NODE_4410_length_7359_cov_1.15498__7359__t2pks__ANTISMASH__0_7359,3.19322981229,-,-,-,0.894142510607151,N/A,N/A,Unassigned
O2.UC44.2__NODE_752_length_28231_cov_1.44003__28231__nrps__ANTISMASH__0_28231,2.36795944327,-,-,-,0.972403485811314,N/A,N/A,Unassigned
O2.UC1.2__NODE_6241_length_6048_cov_2.74253__6048__nrps__ANTISMASH__0_6048,3.32233754795,-,-,-,0.834142636222931,NZ_CZBS01000005,Ruminococcus torques,Firmicutes
O2.UC50.0__NODE_43_length_109678_cov_2.66805__26723__terpene__ANTISMASH__82955_109678,2.58198082066,C,2.35877232173,0.00509805218079,0.00509805218078733,NZ_PJKG01000003,Akkermansia muciniphila,Verrucomicrobia
V1.UC21.4__NODE_3343_length_11194_cov_9.65356__11194__lantipeptide__ANTISMASH__0_11194,3.17408553111,-,-,-,0.331147154343096,N/A,N/A,Unassigned
V1.CD38.0__NODE_568_length_44807_cov_4.74365__32695__nrps__ANTISMASH__12112_44807,2.4487106489,-,-,-,0.667089157850659,N/A,N/A,Unassigned
V1.UC62.0__NODE_73_length_130004_cov_11.0735__44341__nrps__ANTISMASH__4183_48524,2.43273580482,-,-,-,0.013888757489777,N/A,N/A,Unassigned
O2.UC5.2__NODE_359_length_37868_cov_2.40359__21887__arylpolyene__ANTISMASH__15981_37868,2.27698369952,-,-,-,0.979108240940579,N/A,N/A,Unassigned
V1.CD24.0__NODE_636_length_30932_cov_2.09949__23181__other__ANTISMASH__0_23181,2.18148456828,-,-,-,0.403827153147136,N/A,N/A,Unassigned
V1.UC14.1__NODE_239_length_67088_cov_15.7021__15919__lantipeptide__ANTISMASH__51169_67088,2.15634921702,-,-,-,0.454641200516435,NZ_BCYE01000017,Bifidobacterium dentium,Actinobacteria
O2.UC59.2__NODE_929_length_27440_cov_3.68428__27440__lantipeptide__ANTISMASH__0_27440,3.2853745249,-,-,-,0.278296897431814,NZ_ACII02000003,Ruminococcus sp. 5_1_39BFAA,Firmicutes
O2.UC18.2__NODE_2592_length_12045_cov_1.81593__12045__ladderane__ANTISMASH__0_12045,1.56928467605,-,-,-,0.559471052092101,N/A,N/A,Unassigned
V1.UC14.1__NODE_397_length_46579_cov_3.97444__45038__nrps__ANTISMASH__0_45038,1.51429621569,-,-,-,0.454641200516435,NZ_GG700630,Slackia exigua (strain ATCC 700122 / DSM 15923 / CIP 105133 / JCM 11022 / KCTC 5966 / S-7),Actinobacteria
O2.UC1.2__NODE_6481_length_5853_cov_1.25371__5853__bacteriocin__ANTISMASH__0_5853,1.12355658261,-,-,-,0.289104704938358,N/A,N/A,Unassigned
V1.UC49.1__NODE_465_length_62164_cov_14.6778__32615__other__ANTISMASH__0_32615,2.1317893385,-,-,-,0.926964732089652,NZ_LT594621,Culturomica massiliensis,Bacteroidetes
V1.UC11.0__NODE_968_length_19914_cov_2.10665__19914__bacteriocin__ANTISMASH__0_19914,2.81563619307,UC,2.36949136015,0.00548330826204,0.00548330826204395,NC_017927,Streptococcus thermophilus MN-ZLW-002,Firmicutes
O2.UC17.2__NODE_1356_length_18657_cov_1.93823__18657__arylpolyene__ANTISMASH__0_18657,2.09968463552,-,-,-,0.443686719721116,N/A,N/A,Unassigned
V1.CD18.0__NODE_483_length_43980_cov_3.2741__43980__nrps__ANTISMASH__0_43980,2.27985464021,-,-,0.00339358999326,0.00339358999326485,N/A,N/A,Unassigned
V1.UC14.1__NODE_2873_length_6706_cov_3.45647__6706__arylpolyene__ANTISMASH__0_6706,1.36902294222,-,-,-,0.454641200516435,NZ_GL586311,Prevotella buccae ATCC 33574,Bacteroidetes
V1.UC55.0__NODE_3541_length_13591_cov_33.0346__13591__bacteriocin__ANTISMASH__0_13591,3.00791176905,-,-,-,0.394134259535036,N/A,N/A,Unassigned
O2.UC58.2__NODE_4274_length_7670_cov_1.22469__7670__other__ANTISMASH__0_7670,2.20068248525,C,2.07119831504,0.00251848956745,0.00251848956744988,N/A,N/A,Unassigned
O2.UC59.0__NODE_2938_length_10198_cov_1.24352__10198__nrps__ANTISMASH__0_10198,3.87333172501,-,-,-,0.0177996708914565,NC_012781,Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835 / VPI 0990) (Eubacterium rectale),Firmicutes
V1.UC13.3__NODE_8_length_352946_cov_11.3323__43253__nrps__ANTISMASH__246457_289710,3.53631642059,-,-,-,0.0632759731669259,NZ_CYZD01000004,Blautia obeum,Firmicutes
V1.CD18.0__NODE_1164_length_21122_cov_8.21588__13126__bacteriocin__ANTISMASH__7996_21122,0,-,-,-,-,NZ_KQ969241,Streptococcus lutetiensis,Firmicutes
O2.UC56.2__NODE_2383_length_10856_cov_1.40771__10856__nrps__ANTISMASH__0_10856,2.16822614988,-,-,-,0.767291762825816,N/A,N/A,Unassigned
V1.UC30.0__NODE_203_length_57414_cov_1.85172__10528__bacteriocin__ANTISMASH__4837_15365,1.44940363327,-,-,-,0.181080684353399,N/A,N/A,Unassigned
V1.CD22.0__NODE_123_length_108932_cov_10.7286__47458__nrps__ANTISMASH__36365_83823,2.96275226849,-,-,-,0.449685993012123,N/A,N/A,Unassigned
O2.UC35.2__NODE_7337_length_5013_cov_1.49254__5013__other__ANTISMASH__0_5013,2.85501624186,-,-,-,0.580817432653563,N/A,N/A,Unassigned
O2.UC30.0__NODE_223_length_41413_cov_2.21268__33210__other__ANTISMASH__0_33210,2.85491023985,-,-,-,0.0177794639799062,NZ_CP016394,Streptococcus thermophilus,Firmicutes
O2.UC37.0__NODE_1047_length_20443_cov_3.24088__15779__bacteriocin__ANTISMASH__4664_20443,3.69989620386,-,-,-,0.743309206159984,NC_012781,Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835 / VPI 0990) (Eubacterium rectale),Firmicutes
V1.UC21.4__NODE_379_length_57398_cov_4.0252__39556__arylpolyene__ANTISMASH__0_39556,1.82269789964,-,-,-,0.289104704938358,NZ_KQ089963,Enterobacter sp. BIDMC99,Proteobacteria
O2.UC34.2__NODE_1070_length_16460_cov_9.64194__16460__bacteriocin__ANTISMASH__0_16460,2.2450747796,-,-,-,0.289104704938358,N/A,N/A,Unassigned
V1.UC49.1__NODE_980_length_36750_cov_7.25461__36401__other__ANTISMASH__349_36750,2.18716715191,-,-,-,0.322954192145965,N/A,N/A,Unassigned
O2.UC19.2__NODE_4176_length_5559_cov_1.11047__5559__nrps__ANTISMASH__0_5559,1.84754536082,-,-,-,0.695163233800016,NZ_BAIB02000005,Clostridiales bacterium VE202-14,Firmicutes
V1.CD16.0__NODE_44_length_103291_cov_3.99936__42499__other__ANTISMASH__51454_93953,1.87242381357,-,-,-,0.181080684353399,N/A,N/A,Unassigned
V1.UC10.2__NODE_1689_length_17780_cov_3.95876__17780__other__ANTISMASH__0_17780,3.00265114947,-,-,-,0.227579605294205,N/A,N/A,Unassigned
V1.UC21.4__NODE_1318_length_24264_cov_18.7472__24264__lantipeptide__ANTISMASH__0_24264,2.609840309,-,-,-,0.689075287211475,NZ_CZAW01000028,Blautia wexlerae,Firmicutes
O2.UC2.2__NODE_3431_length_10524_cov_1.98997__10524__lassopeptide__ANTISMASH__0_10524,2.22838154043,-,-,-,0.336535607110438,N/A,N/A,Unassigned
O2.UC29.2__NODE_3050_length_8127_cov_1.43459__8127__lassopeptide__ANTISMASH__0_8127,3.16581967966,-,-,-,0.950903161741494,N/A,N/A,Unassigned
V1.UC11.0__NODE_2662_length_8372_cov_1.74161__8372__nrps__ANTISMASH__0_8372,3.41740612254,-,-,-,0.984446027507866,NZ_CZBP01000019,Blautia obeum,Firmicutes
V1.UC33.0__NODE_5407_length_7636_cov_2.11859__7636__nrps__ANTISMASH__0_7636,2.50944139288,-,-,-,0.299253541933553,N/A,N/A,Unassigned
V1.CD17.4__NODE_1621_length_22473_cov_11.857__22473__t1pks__ANTISMASH__0_22473,2.30499282753,-,-,-,0.230010867910089,N/A,N/A,Unassigned
V1.UC49.1__NODE_907_length_38752_cov_5.45184__38752__nrps__ANTISMASH__0_38752,2.1110692498,-,-,-,0.212205073524152,N/A,N/A,Unassigned
V1.CD19.0__NODE_1531_length_22879_cov_29.4335__22879__arylpolyene__ANTISMASH__0_22879,2.42081087896,-,-,-,0.181080684353399,NZ_NFKD01000002,Bacteroides sp. An19,Bacteroidetes
O2.UC27.0__NODE_1358_length_18223_cov_13.1286__18223__t2pks__ANTISMASH__0_18223,3.88501282242,-,-,-,0.100237311032357,NZ_CZBU01000001,Eubacterium eligens,Firmicutes
V1.UC36.0__NODE_16_length_222133_cov_4.23028__43059__nrps__ANTISMASH__176842_219901,2.75506744435,-,-,-,0.115791480721397,N/A,N/A,Unassigned
V1.CD29.0__NODE_396_length_45877_cov_2.9708__42511__resorcinol__ANTISMASH__3366_45877,3.22396124921,-,-,-,0.79674000821603,NZ_JH376593,Paraprevotella clara YIT 11840,Bacteroidetes
O2.UC35.0__NODE_6199_length_5959_cov_1.24932__5959__nrps__ANTISMASH__0_5959,3.82567714538,-,-,-,0.164952242447832,NZ_CZBP01000007,Blautia obeum,Firmicutes
O2.UC59.2__NODE_71_length_112862_cov_3.17115__26134__bacteriocin__ANTISMASH__86728_112862,3.32801105338,-,-,-,0.160799550446861,N/A,N/A,Unassigned
O2.UC27.2__NODE_1545_length_12887_cov_2.17152__12887__lantipeptide__ANTISMASH__0_12887,1.97828676821,-,-,-,0.0636115408595361,NC_015760,Streptococcus salivarius (strain CCHSS3),Firmicutes
O2.UC52.0__NODE_504_length_34286_cov_4.04046__20171__terpene__ANTISMASH__0_20171,2.39816946134,-,-,-,0.231747377232893,N/A,N/A,Unassigned
V1.UC29.0__NODE_2159_length_10983_cov_2.64165__10983__other__ANTISMASH__0_10983,2.95446085336,-,-,-,0.391005921408617,N/A,N/A,Unassigned
V1.UC5.3__NODE_477_length_58475_cov_7.91773__10194__microcin__ANTISMASH__0_10194,3.75621979081,-,-,-,0.274733115716446,NZ_GG698602,Dialister invisus DSM 15470,Firmicutes
V1.UC48.0__NODE_3300_length_12590_cov_4.88895__12590__bacteriocin__ANTISMASH__0_12590,2.5432440329,-,-,-,0.302174138906222,NZ_LDDQ01000006,Escherichia coli,Proteobacteria
O2.UC18.2__NODE_595_length_33614_cov_4.80688__23727__lantipeptide__ANTISMASH__9887_33614,3.10103719971,-,-,-,0.307399906811677,N/A,N/A,Unassigned
V1.UC28.0__NODE_5425_length_5327_cov_5.02466__5327__nrps__ANTISMASH__0_5327,3.82600451803,-,-,-,0.736402280964977,NZ_ADMO01000148,Bacteroides ovatus SD CMC 3f,Bacteroidetes
O2.UC4.2__NODE_2505_length_13848_cov_1.68404__13848__lantipeptide__ANTISMASH__0_13848,1.93175865873,-,-,-,0.164227332550873,N/A,N/A,Unassigned
V1.UC54.0__NODE_4360_length_12733_cov_2.7946__7756__bacteriocin__ANTISMASH__4977_12733,1.08806983894,-,-,-,0.289104704938358,N/A,N/A,Unassigned
V1.CD35.0__NODE_1474_length_8859_cov_1.95695__8859__arylpolyene__ANTISMASH__0_8859,0.65130895147,-,-,-,0.454641200516435,N/A,N/A,Unassigned
V1.CD21.4__NODE_96_length_78674_cov_12.4833__38520__lantipeptide__ANTISMASH__40154_78674,1.17001849616,-,-,-,0.181080684353399,NZ_LN877293,Bacteroides fragilis,Bacteroidetes
