Sample	O2.UC49.0	O2.UC49.2	O2.UC50.0	O2.UC50.2	O2.UC51.0	O2.UC51.2	O2.UC52.0	O2.UC52.2	O2.UC53.0	O2.UC53.2	O2.UC54.0	O2.UC54.2	O2.UC55.0	O2.UC55.2	O2.UC56.0	O2.UC56.2	O2.UC57.0	O2.UC57.2	O2.UC58.0	O2.UC58.2	O2.UC59.0	O2.UC59.2	O2.UC60.0	O2.UC60.2	V1.CD1.0	V1.CD10.0	V1.CD11.0	V1.CD12.0	V1.CD13.0	V1.CD14.0	V1.CD15.0	V1.CD15.3	V1.CD16.0	V1.CD17.0	V1.CD17.4	V1.CD18.0	V1.CD18.3	V1.CD19.0	V1.CD2.0	V1.CD20.4	V1.CD21.0	V1.CD21.4	V1.CD22.0	V1.CD24.0	V1.CD25.0	V1.CD25.4	V1.CD27.0	V1.CD28.0	V1.CD29.0	V1.CD3.0	V1.CD30.0	V1.CD31.0	V1.CD34.0	V1.CD35.0	V1.CD35.1	V1.CD36.0	V1.CD38.0	V1.CD4.0	V1.CD41.0	V1.CD42.0	V1.CD6.0	V1.CD6.4	V1.CD7.0	V1.CD7.4	V1.CD8.0	V1.CD9.0	V1.UC16.0	V1.UC18.0	V1.UC19.0	V1.UC24.0	V1.UC27.0	V1.UC28.0	V1.UC29.0	V1.UC30.0	V1.UC32.0	V1.UC33.0	V1.UC34.0	V1.UC36.0	V1.UC37.0	V1.UC41.0	V1.UC42.0	V1.UC43.0	V1.UC44.0	V1.UC46.0	V1.UC48.0	V1.UC57.0	V1.UC6.0	V1.UC61.0	V1.UC62.0	V1.UC7.0	V1.UC8.0	V1.UC9.0
V1.UC61.0__NODE_930_length_26002_cov_3.77986__26002__nrps__ANTISMASH__0_26002	0	0	0.393706219708067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35905579184201	0	0	0.278929539933632	0	1.21349281119306	0	0	0.147155836368818	3.49283863356016	5.8995300472444	0	0.680805394941529	0.277959115407102	0.366582046795685	0	0	0	0	0	0	0	6.87588083384523	1.5843723069311	0	0	0	0	0	0	0.287197202748936	1.64172812069821	0.912446011597086	0	0	0	0	0	0	0	0	0.503987164092437	0	0	0	0	0	0	1.08874597555406	0	0	0	0	0	0	0	1.90704968152721	0	0	0	0
V1.UC61.0__NODE_459_length_41744_cov_4.85281__24015__nrps__ANTISMASH__17729_41744	0	0	0	0	6.99588101419869	3.92197984807703	0.277951888980936	0.779865680980772	0	0	0	0	0	0	0	0	4.10676380515206	7.02613985177013	0	0	0	0	2.73239441955737	2.15516458423656	0	0	0	0	0	0	0	0	0	0	0	0	0	0.389962182749464	0	0	0	0	1.82173420991505	0	0	0	0	0	0	0	0	0	8.27478777583143	0	0	0	0	0	0	0	0	0	0	0	5.40079493669243	0	0	0	2.87224026309537	7.59352764917948	0.197059659246115	2.96293503419984	0	0	0.773094753379434	0.499220005422062	0	7.58893040926583	0	0	0	5.78232664225427	0	0	0	0.773189551399525	0	2.12858767569678	2.48694905145971	0	0	0
V1.UC61.0__NODE_228_length_65988_cov_4.67854__26289__nrps__ANTISMASH__39699_65988	0	0	0	0	1.33858659435649	0	0	0	0	0	0	0	0	0	0	0	0	0.409568495304802	0	0	0	0	0	0	0	37.7177242383381	0	0	0	0	0	0.446854931467491	0	0.619255015420077	0	0.886228042826558	6.28677508278385	0	0	0.451653042621749	0	0.712265772262554	0	0.239526455518238	0	0	0	0	0	0	0	0.315391333372374	0	1.08662658840805	0.840968343895088	0	0	0	29.4250855600914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.701734362437099	0	0	0	0	0	0	0	0	0	0	0	2.13053110331907	0	0	0	0
V1.UC61.0__NODE_2273_length_12464_cov_2.76678__12464__t1pks__ANTISMASH__0_12464	0	0	0	0	0.355056325521761	0	0	0	0	0	0	0	0	0	0	0	0	0.285573424634993	0	0	0	0	0	0	0	42.4682029229174	0	0	0	0	0	0.291727414598874	0	0.532181335178642	0	0.444439865244614	3.91201178183896	0	0	0.756402528093794	0	0.733502390565439	0	0.281777914951806	0	0	0	0	0	0	0	0.266088663768497	0	0.642368342485987	0.467485286843992	0	0	0	21.6387523808795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.947968132205838	0	0	0	0	0	0	0.315507679115206	0	0	0	0	1.60175598361412	0	0	0	0
V1.UC58.0__NODE_832_length_28573_cov_3.7611__28573__nrps__ANTISMASH__0_28573	0	0	0	0	0	0	0	0	0	0	0.656631584830555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.219676795459328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.729100119931754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.171193054397398	0	0	0	0
V1.UC58.0__NODE_7831_length_5607_cov_2.75648__5607__arylpolyene__ANTISMASH__0_5607	0	0	0.886328173948279	1.15941467151542	1.72751287834431	2.15168088878347	0.429055810028327	0.650811666728102	0	0.634579077845583	0.631979039254584	0	0.592627781518739	0.645784522716531	0.684603584772351	0	0.411603942784366	0.545937749527284	0.487856666634713	0.386742313781736	1.16956365998367	0.609787980169003	0.487337005009195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.310072648889322	0	0.251511589061385	0	0	0.671760258401594	0.895272162272343	0	0	0.807123123263359	0	4.91654314555994	0	1.17309000627695	0	0	0	0	0	0.677634603059136	0	0	0.506610300816679	0	0	0	0	0	0	0	0	0	1.74226096272671	1.07603406198608	0.469397081191682	0.59461089700022	0	0	1.69424678777423	0	0	0	0.846588737574526	0	1.18282004338392	1.07824869898095	0.965676264054296	0.381406752547252	0.255642671860894	0	0.22198257010148	0.969427071204166	0	0	0
V1.UC58.0__NODE_5035_length_7995_cov_2.85126__7995__nrps__ANTISMASH__0_7995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.56407030383752	2.32252823170816	0	0	0	0	0	0	0	0	2.38208598447841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.308248136821061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V1.UC58.0__NODE_3069_length_11685_cov_4.12717__11685__arylpolyene__ANTISMASH__0_11685	0	0	0	0	0	0	0.289972810552692	0.492927302029969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.688434467276944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V1.UC57.0__NODE_95_length_60198_cov_8.44494__26163__nrps__ANTISMASH__0_26163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.43928742972289	0	0	0	0.698440495856318	0.38376851667461	1.66029696933067	1.67699519564187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.43777871779631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.394911348574879	0	0	0	0	0	0	0	0.613394628139914	0	0	0	0	0	0	4.93837366717966	2.72827239402986	0	0	0	0	0
V1.UC57.0__NODE_526_length_30686_cov_3.98273__27496__nrps__ANTISMASH__3190_30686	0	0.406522972670487	0	0.358815019147648	0	0.16216861156668	0	0	0	0	0	0	0	0	0	0.954066560415598	0	0	0	0.335340713151047	0	0	0.485692674232275	0	0	0	0	0	0	0	0	0.2907892482282	0	0	0	0	0	0	0	0.172874142480733	0	0	0.292063925511584	0	0	0	0	0	0.350812179696211	0	0.275686986152828	0.314657224944391	0	0.258832929904805	0	0.868476781359847	0	0	9.25981960497906	0	0	0	0	0	0	0	0.937596774874683	0	0	1.65607650614548	0	0	0	0	0	0	0.503000871040565	0	0	0	1.71515307831275	0	0	1.08337363044	0	2.41060007018868	0	0	0.242214430666033	0	0	0
V1.UC57.0__NODE_4_length_145066_cov_6.88561__43646__arylpolyene__ANTISMASH__32123_75769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.84506667409566	0	0	0	0	0	0
V1.UC57.0__NODE_265_length_41682_cov_3.26171__21764__amglyccycl__ANTISMASH__4814_26578	0	0	0	0	0	0	0	2.10652009937437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.81835609771062	0	0	0	0	0	0
V1.UC57.0__NODE_1265_length_18401_cov_3.43459__10343__bacteriocin__ANTISMASH__8058_18401	0	0	0	0	7.52976107659517	3.07996943557823	0	0	0	0.307270157699806	0	0.388582450492646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1391326015342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08321044637038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.86261530082304	0	0	0	0	1.86532719444462	0	0	0	0	0	0
V1.UC56.0__NODE_263_length_42781_cov_4.52212__22829__lantipeptide__ANTISMASH__5414_28243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.192369156348453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.328305025787783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V1.UC56.0__NODE_135_length_68096_cov_17.4957__5704__bacteriocin__ANTISMASH__62392_68096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V1.UC56.0__NODE_114_length_75044_cov_5.5023__49091__nrps__ANTISMASH__25953_75044	0	0	0	0	0	0	0.668472800336518	3.74946422509204	0	2.50440861891715	0	0	0	0	8.24871471130848	0	0	2.2719723942133	0	0	9.45967133727582	17.8050462186152	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7678318086439	5.46927012003442	1.21692071999307	0	0	3.99423246480359	2.75432588652342	0	0	0	0	2.23924570114334	1.91120326230409	3.22072612756106	0	0	0	0	0	0	0	2.23515796128754	23.3126340911198	0	0	0	2.4965840554217	1.97850867659839	0	0	0	0	23.2932103089791	0	0	9.73105460299691	5.12402159715283	1.4462223189004	16.8322139939741	0	6.06783314021918	0	0.532848231131024	0	0	4.01598880557804	0.775938724641083	2.46606950337479	0	2.49999186968102	0	1.24081692832023	0.198522307520258	0	0	0	0
V1.UC55.4__NODE_8369_length_6083_cov_2.46251__6083__other__ANTISMASH__0_6083	1.5262196923634	0.808398267399573	0	0	0	0.27720615304585	0	4.32858262546784	0.705369066984805	2.37944289862756	0.49974610442854	2.56063780382104	0	0	0	0	0.746552590979135	0	0.5781618789692	0.629081283434314	1.1808550579358	0.694496777418997	0	0	0	0	0	0	0	0	0	5.5065590416049	0.784979065986277	3.23505397911756	1.63854641076928	0	0	0.780571334984797	0	0	0	0	0.656579762994938	4.80258415814978	0	0	2.86486538455363	1.71988783179313	1.34925255344045	0	0.863359334777275	1.18524508974067	0	0	1.73364891037708	1.5046444935336	0.523939510297863	0	0.436837009786534	0.916993079663341	0	0	0	0	0	0	0	0	0	1.00046695456292	1.74500700767919	1.448358292978	0	5.11290894114017	5.3275868053073	0.719974134330247	0	0.445820167611772	1.2463993747406	0	0	0	1.18117036415592	0	0.453881437925995	1.22423634819492	0	0	0	1.12889585505016	0	0
V1.UC55.4__NODE_541_length_62066_cov_3.10285__54884__nrps-t1pks__ANTISMASH__0_54884	0	0	0	0	0	0	0.26021828962656	0.189033143422973	0	0	0	0	1.10351269456872	0.834203841207693	0	0	0	0	0	0	0	0	0	0.711719968973622	0	0	0	0	0	0	0	0	0.861090019295514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.900789100564261	0	0	0	0	0	0	0	0	0	0	0	0	0	0.956365120901071	0	0	0.644447006871459	0	0	1.04061206153274	0	0	0	0	0	0	0	0	0
V1.UC55.4__NODE_4_length_453528_cov_8.44019__22700__lantipeptide__ANTISMASH__380667_403367	0	0.607521475697713	0.314923329191007	0	1.49072122262466	2.05697540661912	0.5216837602697	0.594944991488528	0	0	0	0	0	0	0	0	0.91091236829979	0.460211512257682	0.893523761426686	0.566740344383142	0	0	0	0.49246961644782	0	0	0	0	0	0	0	0	0	0	0	0	0	0.434435163094673	0	0	0	0	0	1.72533095042187	0	0	0	0	0	0	1.95717947259723	0.438307811261305	2.18601232017284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.340436276919756	0	0	0	0	0	0	0.721697679242805	0	0	0.518902512188095	0.492657106333768	0	1.27813918681423	0	0	0	0	0	3.83723348050149
V1.UC55.4__NODE_1865_length_27691_cov_7.17441__14919__lantipeptide__ANTISMASH__12772_27691	0	0	0	0	0	0	0	0	0	0	0	0.870258507491068	0	0	0	0	0.718573449823974	0.923307750331635	0	0	0	0	0.764868157601437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.58303520358337	0	0	0	0	0	0.777565952270674	0	0	15.7345737482131	0	0	0	0.726828403853561	0	0	0	14.3550451233998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.81292776273975	0.976561049864667	0	1.38303715090926	0	0	0	0	0	0	0	0	2.49415175665952	1.23232965780657	0	0	0	0	0	0	0
V1.UC55.4__NODE_1536_length_32221_cov_5.91283__32221__nrps__ANTISMASH__0_32221	0	0	1.08987038546728	1.74876539890973	1.23666463334507	1.00162437966194	0	1.75429968770953	1.14008171492523	1.23507276436467	1.01119175439791	0.612756833642547	0	0	2.07251384257587	2.60574243147006	0.725502681038784	0	1.10363925041653	1.56033543528019	1.1712328817412	1.04835635851159	0	0.691031676815949	0	0	0	0	0	1.75539759176115	0	0	1.49548494934273	0	0	0	0.678797504559947	2.10889219102152	0	0.762101562324119	0	0.488072581684356	1.20603103777474	2.18439840038047	0	1.02337590410935	5.03422423629145	0	1.4616504274708	0	0.942619595250343	2.05357873970053	1.85042199352828	0	1.17261243410633	1.99586383805345	0.970571515640123	0	1.53358218319592	0.85420057712885	0	1.81983305866343	0	0	0	0	7.44653063889133	0	0	0	1.62086689096299	1.20728701029082	0.793686923099603	2.82321249251908	2.93895256791943	1.28052009561928	1.8927983864718	1.37329657974523	0	0	1.04085787930647	1.14181143886964	1.96872643625089	2.13012826625192	1.28235175624952	1.3724235067859	2.28920533860237	0	0.642216788902802	0	0	0
V1.UC55.0__NODE_676_length_51375_cov_6.44388__23606__lantipeptide__ANTISMASH__27769_51375	0	0	0.539261573865803	0.372585423081121	0.396774323553096	0.327339421560951	0.490896231308738	0	0	0	0	0	0.309824890667882	0.248150212294287	0.755935043355677	0.476053838528146	0	0	0	0	0.280070701251715	0.260104439959361	0.45405074652995	0	0	0	0	0	0	0	0	0	0.411482644458999	0	0.296036223627704	0	0	0.355252009883926	0	0.309980248609739	0.348035324798038	0.312731704483079	0	0.673263093323204	0	0.108438299800312	1.17964354527178	0.301482506650825	0	0	0	0.954450918316911	0	0	0.803492399644753	0	0.188075300433253	0	0	0	0	0	0.58647540953595	0	0	0	0.689415770995256	0	0	0	0	0	0	1.66429867397651	0.528584185722303	0	0.204380123354499	0	0	0	0.58313074183719	0	0	0.305114293103038	0	0.29523144761339	0	0	0	0	0	0
V1.UC55.0__NODE_645_length_52850_cov_6.31664__45787__nrps__ANTISMASH__7063_52850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V1.UC55.0__NODE_6397_length_7599_cov_2.36072__7599__nrps__ANTISMASH__0_7599	0	0.286548870661751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.207746044431935	0	0	0	0	0	0	0	0.215849445703782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.408829035912938	0	0	0	0.514990055440997	0	0	0.228198562747567	0	0	0	0	0	0	0	0	0	0	0
V1.UC55.0__NODE_446_length_65048_cov_3.10812__30098__nrps__ANTISMASH__34950_65048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V1.UC55.0__NODE_4056_length_11937_cov_2.38815__11937__nrps__ANTISMASH__0_11937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.75953858371722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.21209737761596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V1.UC55.0__NODE_3541_length_13591_cov_33.0346__13591__bacteriocin__ANTISMASH__0_13591	0	0.269695597189345	0	1.02697974570682	0.549228702713837	0.374130751305281	0	0.705454642065841	0.29038993851417	0.743453034791695	0.240140972854551	0.327061785095282	0	0.22497686396573	1.18926087253753	1.05831736934355	0.343724671987141	0	0.29710761752156	0.345918332986388	0.416769767091122	0.499187665621837	0	0.288226808114204	0	0	0	0	0	0.895977775820869	0	0.441399976275169	0.574430096496324	0	0	0	0.396186580798924	0.46438628867923	0	0.251059815928191	0	0.50360958885621	0.238441817712211	1.47608169214995	0	0.283756346917239	3.46810037553658	0.157757348046447	0.571518903383366	0	0.266366201201796	1.20950986744425	0.465067625795598	0	0.634148670199748	0.241773567684447	0.276487712652225	0	0.112702813126661	0.261609582586394	0	2.2616321967858	0.672010332193898	0	0	0	0	0	0	0	0.486925255667844	0.638635959509301	1.28184152073186	1.11852299648024	2.36653753939413	0	0.287628636718943	0.257631638321158	0	0	0.20388153784259	0.478736501926593	0.870739118467211	0.56842235026547	0.933533380253995	0.38670868153838	1.41341640742034	0	0.302924464064013	0	0	0
